hyperlinked_billnum,sponsor,broad_subject_name,title,current_status,hyperlinked_xfile
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1494?ys=2025RS' target='_blank'>HB1494</a>,Howard County Delegation,Alcoholic Beverages - Local Bills,Howard County - Alcoholic Beverages - Class MT (Movie Theater) License,Hearing 3/11 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB1019?ys=2025RS' target='_blank'>SB1019</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1523?ys=2025RS' target='_blank'>HB1523</a>,Howard County Delegation,Taxes - Miscellaneous - Local,Howard County - Room Rental Tax - Maximum Rate and Distribution Ho. Co. 18-25,Second Reading Passed,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0574?ys=2025RS' target='_blank'>SB0574</a>,Howard County Senators,Education - Local Bills,Howard County Board of Education - Board Member Terms and Compensation Commission Ho. Co. 2-25,"Recommitted to Education, Energy, and the Environment (Senator Lam)",None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0575?ys=2025RS' target='_blank'>SB0575</a>,Howard County Senators,Elections,Howard County - Public Campaign Financing - Board of Education Ho. Co. 3-25,Hearing 2/26 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0777?ys=2025RS' target='_blank'>SB0777</a>,Howard County Senators,Real Property,Howard County - Common Ownership Communities - Funding of Reserve Accounts and Preparation of Funding Plans Ho. Co. 4-25,Hearing 2/25 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0813?ys=2025RS' target='_blank'>SB0813</a>,Howard County Senators,Community Colleges - Local Bills,"Howard Community College - Board of Trustees, Meetings, and Contracts - Alterations Ho. Co. 1-25",Third Reading Passed (47-0),None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0966?ys=2025RS' target='_blank'>SB0966</a>,Howard County Senators,Environment,"Howard County - Ambient Air Quality Control - Permit Applications, Permit Holders, and Property Tax Credit Ho. Co. 6-25","Hearing 3/11 at 1:00 p.m. (Education, Energy, and the Environment)",None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0967?ys=2025RS' target='_blank'>SB0967</a>,Howard County Senators,Vehicle Laws - Equipment and Inspections,Howard County - Noise Abatement Monitoring Systems - Authorization,Hearing 3/05 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0968?ys=2025RS' target='_blank'>SB0968</a>,Howard County Senators,Natural Resources - Generally,Howard County - Patuxent River Wildland - Use of Mechanical or Motorized Equipment Ho. Co. 5-25,Second Reading Passed with Amendments,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0969?ys=2025RS' target='_blank'>SB0969</a>,Howard County Senators,Public Safety,Howard County - Department of Fire and Rescue Services - Current and Prospective Employee Medical Cannabis Use,Unfavorable Report by Finance; Withdrawn,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0970?ys=2025RS' target='_blank'>SB0970</a>,Howard County Senators,Counties - Local Laws,Howard County - Department of Planning and Zoning - Parking Space Requirements for New Construction Ho. Co. 13-25,Hearing 3/11 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB1019?ys=2025RS' target='_blank'>SB1019</a>,Howard County Senators,Alcoholic Beverages - Local Bills,Howard County - Alcoholic Beverages - Class MT (Movie Theater) License,First Reading Senate Rules,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1494?ys=2025RS' target='_blank'>HB1494</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0037?ys=2025RS' target='_blank'>SB0037</a>,Senator Hester,Utility Regulation,Electric Companies - Regional Transmission Organizations - Report (Utility Transparency and Accountability Act),First Reading Economic Matters,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0121?ys=2025RS' target='_blank'>HB0121</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0117?ys=2025RS' target='_blank'>SB0117</a>,Senator Hester,Environment,Environment - Bay Restoration Fund - Septic System Upgrade Program,First Reading Environment and Transportation,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0131?ys=2025RS' target='_blank'>HB0131</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0134?ys=2025RS' target='_blank'>SB0134</a>,Senator Hester,Environment,Solid Waste Disposal Surcharge and Wasted Food Reduction and Diversion Fund and Grant Programs - Established,"Hearing 2/11 at 1:00 p.m. (Education, Energy, and the Environment)",<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0042?ys=2025RS' target='_blank'>HB0042</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0149?ys=2025RS' target='_blank'>SB0149</a>,Senator Hester,Environment,Climate Change Adaptation and Mitigation - Total Assessed Cost of Greenhouse Gas Emissions - Study and Reports,Second Reading Passed with Amendments,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0128?ys=2025RS' target='_blank'>HB0128</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0177?ys=2025RS' target='_blank'>SB0177</a>,Senator Hester,State Government - Procurement,Procurement - State Department of Education - Control Authority - Local Food Purchasing,Hearing 1/22 at 11:30 a.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0056?ys=2025RS' target='_blank'>HB0056</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0360?ys=2025RS' target='_blank'>SB0360</a>,Senator Hester,Civil Actions and Procedures,Revenge Porn - Civil Action and Criminal Offense,First Reading Judiciary,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0361?ys=2025RS' target='_blank'>SB0361</a>,Senator Hester,Elections,Election Law - Influence on a Voter's Voting Decision By Use of Fraud - Prohibition,First Reading Ways and Means,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0525?ys=2025RS' target='_blank'>HB0525</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0362?ys=2025RS' target='_blank'>SB0362</a>,Senator Hester,Criminal Law - Substantive Crimes,Forged Digital Likenesses - Distribution - Prohibition,Hearing 1/29 at 11:00 a.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0563?ys=2025RS' target='_blank'>SB0563</a>,Senator Hester,Agriculture,Maryland Fair and Agricultural Education Promise Fund - Establishment (Maryland Fair and Agricultural Education Promise Act),"Hearing 2/18 at 1:00 p.m. (Education, Energy, and the Environment)",<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0650?ys=2025RS' target='_blank'>HB0650</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0564?ys=2025RS' target='_blank'>SB0564</a>,Senator Hester,Public Safety,Catastrophic Event Account - Transfer of Funds - State Disaster Recovery Fund,Hearing 3/06 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0865?ys=2025RS' target='_blank'>HB0865</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0655?ys=2025RS' target='_blank'>SB0655</a>,Senator Hester,Courts and Court Personnel - Statewide,Courts - Artificial Intelligence Evidence Clinic Pilot Program - Establishment,First Reading Judiciary,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0966?ys=2025RS' target='_blank'>HB0966</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0691?ys=2025RS' target='_blank'>SB0691</a>,Senator Hester,Cybersecurity,Cybersecurity - Healthcare Ecosystem,"Hearing 2/27 at 1:00 p.m. (Finance) and Hearing canceled (Education, Energy, and the Environment)",None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0704?ys=2025RS' target='_blank'>SB0704</a>,Senator Hester,Primary and Secondary Education,State Department of Education and Department of Information Technology - Evaluation on Artificial Intelligence in Public Schools,Hearing 2/21 at 9:30 a.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0981?ys=2025RS' target='_blank'>HB0981</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0705?ys=2025RS' target='_blank'>SB0705</a>,Senator Hester,Information Technology - Generally,Department of Information Technology - Reporting Guidelines,Hearing 2/26 at 2:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0738?ys=2025RS' target='_blank'>HB0738</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0867?ys=2025RS' target='_blank'>SB0867</a>,Senator Hester,Economic Development,Cyber Maryland Program - Revisions,Third Reading Passed (46-0),<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1468?ys=2025RS' target='_blank'>HB1468</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0871?ys=2025RS' target='_blank'>SB0871</a>,Senator Hester,Environment,Department of the Environment - Community Water and Sewerage Systems - Cybersecurity Planning and Assessments,Second Reading Passed with Amendments,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1062?ys=2025RS' target='_blank'>HB1062</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0903?ys=2025RS' target='_blank'>SB0903</a>,Senator Hester,Utility Regulation,Data Centers - Fast Track Pass for Co-Location and Sales and Use Tax,"Hearing canceled (Education, Energy, and the Environment)",None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0904?ys=2025RS' target='_blank'>SB0904</a>,Senator Hester,Taxes - Miscellaneous,Data Brokers - Registry and Gross Income Tax (Building Information Guardrails Data Act of 2025),Hearing 3/05 at 1:00 p.m. (Budget and Taxation),<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1089?ys=2025RS' target='_blank'>HB1089</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0905?ys=2025RS' target='_blank'>SB0905</a>,Senator Hester,Criminal Law - Substantive Crimes,Criminal Law – Identity Fraud – Artificial Intelligence and Deepfake Representations,Hearing 2/26 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1425?ys=2025RS' target='_blank'>HB1425</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0906?ys=2025RS' target='_blank'>SB0906</a>,Senator Hester,Primary and Secondary Education,"Education - Artificial Intelligence - Guidelines, Professional Development, and Task Force",Hearing 3/07 at 9:00 a.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1391?ys=2025RS' target='_blank'>HB1391</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0907?ys=2025RS' target='_blank'>SB0907</a>,Senator Hester,Primary and Secondary Education,"Cybersecurity - Standards, Compliance, and Audits - Alterations",Hearing 3/05 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1309?ys=2025RS' target='_blank'>HB1309</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0908?ys=2025RS' target='_blank'>SB0908</a>,Senator Hester,Utility Regulation,Public Utilities - Electric Distribution System Plans - Establishment (Affordable Grid Act),Hearing 3/06 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1225?ys=2025RS' target='_blank'>HB1225</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0909?ys=2025RS' target='_blank'>SB0909</a>,Senator Hester,Utility Regulation,Energy Resource Adequacy and Planning Act,Hearing 2/28 at 1:30 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1037?ys=2025RS' target='_blank'>HB1037</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0936?ys=2025RS' target='_blank'>SB0936</a>,Senator Hester,Commercial Law - Consumer Protection,Consumer Protection - High-Risk Artificial Intelligence - Developer and Deployer Requirements,Hearing 2/27 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB1040?ys=2025RS' target='_blank'>SB1040</a>,Senator Hester,State Government - Personnel,Department of Budget and Management - Expedited Hiring Program (FEDERAL Jobs Act of 2025),First Reading Senate Rules,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0005?ys=2025RS' target='_blank'>SB0005</a>,Senator Lam,Health - Insurance,Maryland Health Benefit Exchange – State–Based Young Adult Health Insurance Subsidies Pilot Program – Sunset Repeal,First Reading Health and Government Operations,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0297?ys=2025RS' target='_blank'>HB0297</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0072?ys=2025RS' target='_blank'>SB0072</a>,Senator Lam,Health Occupations,Health Occupations Boards - English Proficiency Requirements and Licensure by Endorsement for Nursing,Hearing 3/18 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0367?ys=2025RS' target='_blank'>HB0367</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0111?ys=2025RS' target='_blank'>SB0111</a>,Senator Lam,Health - Insurance,"Maryland Medical Assistance Program and Health Insurance - Step Therapy, Fail-First Protocols, and Prior Authorization - Prescription to Treat Serious Mental Illness",Hearing 1/29 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0382?ys=2025RS' target='_blank'>HB0382</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0165?ys=2025RS' target='_blank'>SB0165</a>,Senator Lam,"State Government - Agencies, Offices, and Officials",Korean American Day,Hearing 3/13 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0171?ys=2025RS' target='_blank'>SB0171</a>,Senator Lam,Elections,General Assembly Vacancy - Political Party Central Committees - Procedures,Hearing 2/05 at 2:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0237?ys=2025RS' target='_blank'>HB0237</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0302?ys=2025RS' target='_blank'>SB0302</a>,Senator Lam,Economic Development,Maryland Small Business Innovation Research and Technology Transfer Incentive Program - Alterations,Hearing 3/20 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1450?ys=2025RS' target='_blank'>HB1450</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0303?ys=2025RS' target='_blank'>SB0303</a>,Senator Lam,Health - Insurance,Pharmacy Benefits Managers - Definition of Purchaser and Alteration of Application of Law,Hearing 2/05 at 2:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0321?ys=2025RS' target='_blank'>HB0321</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0314?ys=2025RS' target='_blank'>SB0314</a>,Senator Lam,Public Health,"Certificates of Birth, Licenses, and Identification Cards - Sex Designation (Birth Certificate Modernization Act)",Hearing 2/05 at 2:00 p.m. (Finance),<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1368?ys=2025RS' target='_blank'>HB1368</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0350?ys=2025RS' target='_blank'>SB0350</a>,Senator Lam,Primary and Secondary Education,Primary and Secondary Education - Educator Professional Development - Course on Student Well-Being and Flourishing,Hearing 2/12 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0457?ys=2025RS' target='_blank'>HB0457</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0393?ys=2025RS' target='_blank'>SB0393</a>,Senator Lam,Health - Insurance,Health Insurance - Prescription Drug Formularies and Coverage for Generic Drugs and Biosimilars,Unfavorable Report by Finance; Withdrawn,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0529?ys=2025RS' target='_blank'>HB0529</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0437?ys=2025RS' target='_blank'>SB0437</a>,Senator Lam,Health Maintenance Organizations,Health Maintenance Organizations - Payments to Nonparticipating Providers - Reimbursement Rate,Hearing 2/12 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0418?ys=2025RS' target='_blank'>HB0418</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0438?ys=2025RS' target='_blank'>SB0438</a>,Senator Lam,Health - Insurance,Pharmacy Benefits Administration - Maryland Medical Assistance Program and Pharmacy Benefits Managers,Hearing 2/12 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0813?ys=2025RS' target='_blank'>HB0813</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0439?ys=2025RS' target='_blank'>SB0439</a>,Senator Lam,Higher Education,Higher Education - High Impact Economic Development Activities - Alterations,Third Reading Passed (47-0),<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1054?ys=2025RS' target='_blank'>HB1054</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0440?ys=2025RS' target='_blank'>SB0440</a>,Senator Lam,Counties - Local Laws,Anne Arundel County - Office of the Inspector General - Establishment,Hearing 2/25 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0447?ys=2025RS' target='_blank'>SB0447</a>,Senator Lam,Health Care Facilities and Regulation,Hospitals - Emergency Pregnancy-Related Medical Conditions - Procedures,Third Reading Passed (33-11),None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0448?ys=2025RS' target='_blank'>SB0448</a>,Senator Lam,Public Health,Maryland Medical Assistance Program - Self-Directed Mental Health Services - Pilot Program,Hearing 2/11 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0486?ys=2025RS' target='_blank'>SB0486</a>,Senator Lam,Education - Miscellaneous,School Health and Wellness Personnel Assessment and Maryland Council on Advancement of School-Based Health Centers,Hearing 2/11 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0672?ys=2025RS' target='_blank'>HB0672</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0576?ys=2025RS' target='_blank'>SB0576</a>,Senator Lam,Private Sector Labor and Industry,Labor and Employment - Mandatory Meetings on Religious or Political Matters - Employee Attendance and Participation (Maryland Worker Freedom Act),Recommitted to Finance (Senator Beidle),<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0233?ys=2025RS' target='_blank'>HB0233</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0577?ys=2025RS' target='_blank'>SB0577</a>,Senator Lam,Public Safety,Public Safety - Distribution of Literature to Purchasers of Firearms and Ammunition,Hearing 2/07 at 10:00 a.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0713?ys=2025RS' target='_blank'>HB0713</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0578?ys=2025RS' target='_blank'>SB0578</a>,Senator Lam,Business Regulation,Business Regulation - Home Improvement Guaranty Fund - Alterations,Hearing 3/19 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0614?ys=2025RS' target='_blank'>SB0614</a>,Senator Lam,Commercial Law - Consumer Protection,Consumer Protection - Credit Reporting - Medical Debt (Fair Medical Debt Reporting Act),Hearing 2/20 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1020?ys=2025RS' target='_blank'>HB1020</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0624?ys=2025RS' target='_blank'>SB0624</a>,Senator Lam,Criminal Law - Substantive Crimes,Relocation of Human Remains - Authorization Process,Hearing 2/12 at 1:00 p.m. (Judicial Proceedings),<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1003?ys=2025RS' target='_blank'>HB1003</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0741?ys=2025RS' target='_blank'>SB0741</a>,Senator Lam,Public Health,Forensic Mental Health Treatment,Hearing 3/04 at 1:00 p.m. (Finance),None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0971?ys=2025RS' target='_blank'>SB0971</a>,Senator Lam,Public Health,Maryland Department of Health and Health Officers - Revisions,Unfavorable Report by Finance; Withdrawn,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0972?ys=2025RS' target='_blank'>SB0972</a>,Senator Lam,Alcoholic Beverages - Local Bills,Anne Arundel County - Board of License Commissioners - Alterations,Second Reading Passed with Amendments,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0973?ys=2025RS' target='_blank'>SB0973</a>,Senator Lam,Transportation - Generally,Aviation Oversight - BWI Thurgood Marshall Airport Master Plan,Unfavorable Report by Finance; Withdrawn,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0974?ys=2025RS' target='_blank'>SB0974</a>,Senator Lam,Health - Insurance,Maryland Medical Assistance Program and Health Insurance - Nonopioid Drugs for the Treatment of Pain,Hearing 2/26 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1013?ys=2025RS' target='_blank'>HB1013</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0975?ys=2025RS' target='_blank'>SB0975</a>,Senator Lam,Health - Insurance,Health Insurance - Coverage for Specialty Drugs,Hearing 2/26 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1243?ys=2025RS' target='_blank'>HB1243</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0976?ys=2025RS' target='_blank'>SB0976</a>,Senator Lam,Counties - Generally,Collective Bargaining - Local Government Employees and Public Employee Relations Act,Hearing 2/27 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1509?ys=2025RS' target='_blank'>HB1509</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0977?ys=2025RS' target='_blank'>SB0977</a>,Senator Lam,Public Safety,State and Local Agencies - Enforcement of Federal Immigration Law - Restrictions on Access to Information (Maryland Data Privacy Act),Hearing 2/19 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0978?ys=2025RS' target='_blank'>SB0978</a>,Senator Lam,Environment,Environmental Permits - Requirements for Public Participation and Impact and Burden Analyses (Cumulative Harms to Environmental Restoration for Improving Shared Health - CHERISH Our Communities Act),Hearing 2/25 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1484?ys=2025RS' target='_blank'>HB1484</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0987?ys=2025RS' target='_blank'>SB0987</a>,Senator Lam,Public Health,Artificial Intelligence - Health Software and Health Insurance Decision Making,Hearing 2/27 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0988?ys=2025RS' target='_blank'>SB0988</a>,Senator Lam,Health Occupations,Dental Services - Dental Hygienists in Schools and School-Based Health Centers and the Maryland Collaborative to Improve Children's Oral Health Through School-Based Programs,Hearing 2/25 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1143?ys=2025RS' target='_blank'>HB1143</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SJ0004?ys=2025RS' target='_blank'>SJ0004</a>,Senator Lam,Public Safety,Use of Nuclear Weapons,Hearing 3/13 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HJ0006?ys=2025RS' target='_blank'>HJ0006</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0011?ys=2025RS' target='_blank'>SB0011</a>,Senator Watson,Criminal Law - Substantive Crimes,Organized Retail Theft Act of 2025,First Reading Judiciary,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0179?ys=2025RS' target='_blank'>HB0179</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0015?ys=2025RS' target='_blank'>SB0015</a>,Senator Watson,Family Law,Child Support - Driver's License Suspension for Arrearages and Court Orders,Hearing 1/22 at 10:00 a.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0681?ys=2025RS' target='_blank'>HB0681</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0046?ys=2025RS' target='_blank'>SB0046</a>,Senator Watson,Criminal Law - Substantive Crimes,Real Property - Wrongful Detainer Actions,First Reading Judiciary,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0560?ys=2025RS' target='_blank'>HB0560</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0150?ys=2025RS' target='_blank'>SB0150</a>,Senator Watson,Real Property,Real Property - Recordation and Land Records - Requirements,First Reading Environment and Transportation,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0347?ys=2025RS' target='_blank'>HB0347</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0339?ys=2025RS' target='_blank'>SB0339</a>,Senator Watson,Transportation - Generally,Maryland Transportation Authority - Video Toll Facilities - Study on Image Capture of License Plates,Unfavorable Report by Finance; Withdrawn,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0692?ys=2025RS' target='_blank'>HB0692</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0340?ys=2025RS' target='_blank'>SB0340</a>,Senator Watson,Gaming,Internet Gaming - Authorization and Implementation,Hearing 1/29 at 10:30 a.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0368?ys=2025RS' target='_blank'>SB0368</a>,Senator Watson,Primary and Secondary Education,County Boards of Education - Student Cellular Phone Use Policy - Establishment (Maryland Phone-Free Schools Act),Hearing 1/29 at 2:30 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0630?ys=2025RS' target='_blank'>HB0630</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0369?ys=2025RS' target='_blank'>SB0369</a>,Senator Watson,Public Health,Public Libraries - Automated External Defibrillator Program (Raymono A. Russell Act),Second Reading Passed with Amendments,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0593?ys=2025RS' target='_blank'>HB0593</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0814?ys=2025RS' target='_blank'>SB0814</a>,Senator Watson,Counties - Generally,"Local Government - Development Impact Fees, Surcharges, and Excise Taxes - Reporting",Hearing 3/04 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0698?ys=2025RS' target='_blank'>HB0698</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0815?ys=2025RS' target='_blank'>SB0815</a>,Senator Watson,Business Occupations and Professions,Occupational Licensing and Certification - Criminal History - Prohibited Disclosures,Second Reading Passed with Amendments,None
